"taxonID"
"Holothuroidea"
"Acrocnida brachiata"
"Amphipholis squamata"
"Amphiura chiajei"
"Amphiura filiformis"
"Amphiuridae"
"Ophiothrix fragilis"
"Ophiocten affinis"
"Ophiuroidea"
"Enteropneusta"
"Ensis ensis"
"Phaxas pellucidus"
"Pharidae"
"Acanthocardia"
"Papillicardium minimum"
"Parvicardium"
"Cardiidae"
"Donax vittatus"
"Gari fervensis"
"Abra alba"
"Abra nitida"
"Abra prismatica"
"Abra"
"Fabulina fabula"
"Kurtiella bidentata"
"Montacuta substriata"
"Tellimya ferruginosa"
"Tellimya tenella"
"Lucinoma borealis"
"Axinulus croulinensis"
"Mendicula ferruginosa"
"Parathyasira equalis"
"Thyasira biplicata"
"Thyasira flexuosa"
"Thyasira"
"Thyasiridae"
"Varicorbula gibba"
"Crenella decussata"
"Nuculana minuta"
"Nuculanidae"
"Ennucula tenuis"
"Nucula nitidosa"
"Arctica islandica"
"Mactra"
"Spisula subtruncata"
"Spisula"
"Chamelea striatula"
"Dosinia lupinus"
"Dosinia"
"Mysia undata"
"Timoclea ovata"
"Cochlodesma praetenue"
"Thracia convexa"
"Thracia phaseolina"
"Thracia"
"Bivalvia"
"Thracioidea"
"Chaetoderma nitidulum"
"Epitonium clathratulum"
"Epitonium trevelyanum"
"Turritellinella tricarinata"
"Cylichna cylindracea"
"Hermania"
"Philine quadripartita"
"Retusa truncatula"
"Retusa umbilicata"
"Retusa"
"Volvulella acuminata"
"Hyala vitrea"
"Euspira montagui"
"Euspira nitida"
"Euspira"
"Sorgenfreispira brachystoma"
"Acteon tornatilis"
"Pyrgiscus crenatus"
"Gastropoda"
"Leptochiton asellus"
"Antalis entalis"
"Nematoda"
"Nemertea"
"Phoronis"
"Platyhelminthes"
"Animalia"
"Folliculinidae"
"Astrorhizidae"
"Saccammina"
"Foraminifera"
"Panthalis oerstedi"
"Aphrodita aculeata"
"Glyceridae"
"Goniada"
"Neogyptis rosea"
"Nephtys hystricis"
"Nereididae"
"Eumida sanguinea"
"Phyllodoce longipes"
"Phyllodoce rosea"
"Harmothoe antilopes"
"Harmothoe imbricata"
"Malmgrenia ljungmani"
"Pholoe inornata"
"Sthenelais"
"Exogone (Exogone) verugera"
"Myrianida"
"Dialychone dunerificta"
"Jasmineira elegans"
"Paradialychone"
"Hydroides norvegica"
"Spirobranchus lamarcki"
"Siboglinum holmei"
"Aonides oxycephala"
"Aonides paucibranchiata"
"Atherospio guillei"
"Pseudopolydora pulchra"
"Ampharete"
"Lysippe sexcirrata"
"Aphelochaeta"
"Caulleriella alata"
"Cirratulus"
"Tharyx"
"Paramphitrite birulai"
"Thelepus setosus"
"Capitella"
"Heteromastus"
"Capitellidae"
"Chaetopterus variopedatus"
"Leiochone leiopygos"
"Ophelina modesta"
"Orbinia (Orbinia) sertulata"
"Scoloplos (Scoloplos) armiger"
"Golfingia (Golfingia) elongata"
"Golfingia (Golfingia) vulgaris"
"Phascolion (Phascolion) strombus"
"Ampelisca macrocephala"
"Ampelisca typica"
"Ampelisca"
"Corophium"
"Eriopisa elongata"
"Isaeidae"
"Centraloecetes kroyeranus"
"Urothoe"
"Diastylis goodsiri"
"Leucon nasica"
"Petalosarsia declivis"
"Cumacea"
"Ebalia cranchii"
"Ebalia"
"Pisidia longicornis"
"Upogebia deltaura"
"Gnathiidae"
"Ione thoracica"
"Mysidae"
"Paratanaoidea"
"Achelia echinata"
"Balanus balanus"
"Balanidae"
"Verruca stroemia"
"Bugulidae"
"Electra pilosa"
"Flustra foliacea"
"Triticella flava"
"Didemnidae"
"Dendrodoa grossularia"
"Synarachnactis lloydii"
"Corymorpha"
"Neoturris"
"Athecata"
"Clytia hemisphaerica"
"Laomedea flexuosa"
"Phialella quadrata"
"Hydrallmania falcata"
"Sertularia cupressina"
"Echinocardium"
"Labidoplax buski"
"Leptosynapta decaria"
