numAuto,surveyCode,stationCode,priority,location,fishing,mud,sand,latitude,longitude,beamSAR,otterSAR,dredgeSAR,totalSAR,poc_kgm2,totalProd_log10,preyProd_log10,mud_pc,sand_pc,gravel_pc,waterDepth,distCoast,,Area,Description,reasoning,Water Depth (m),SedimentDescription,Comments
21,CEND0723,NDT-H,aa,transectDoggerFulmar,medium/high,low,high,55.5,2.37,0.022917661,0.332974841,0,0.369807839,0.3597126,1.2129444,0.9304224,0.71137,99.08423,0.2044,51,219196.6406,,Transect,Transect Dogger Bank to Fulmar,Transect Dogger Bank to Fulmar,51,SLIGHTLY MUDDY SAND WITH SHELL,carbon transition sandy to deep
22,CEND0723,ND,aa,transectDoggerFulmar,low,high,high,55.683,2.279,0,0.030115816,0,0.030115816,0.5522438,1.3043416,0.8672388,9.28309,90.71316,0.00375,81,225608.75,,Transect,Transect Dogger Bank to Fulmar,Transect Dogger Bank to Fulmar,82.5,Muddy sand,carbon transition sandy to deep
23,CEND0723,NDT-A,aa,transectDoggerFulmar,low,medium/high,high,55.838,2.166,0,0,0,0,0.5082565,1.2611649,0.8148963,5.43215,94.56585,0.002,85.0999985,230850.1875,,Transect,Transect Dogger Bank to Fulmar,Transect Dogger Bank to Fulmar,86.5,Muddy sand,carbon transition sandy to deep
24,CEND0723,NDT-B,aa,transectDoggerFulmar,low,low,high,56.001,2.065,0,0,0,0,0.3798361,1.2123445,0.8703266,4.65742,95.32983,0.01275,84,235951.5313,,Transect,Transect Dogger Bank to Fulmar,Transect Dogger Bank to Fulmar,85,Muddy sand,carbon transition sandy to deep
25,CEND0723,DT,B,Fulmar,high,high,medium/high,56.267,1.639,0,4.404855502,0,4.404855502,0.8735232,1.3866749,0.8498563,16.1616,83.81267,0.02574,100.6999969,218875.1719,,Fulmar,Fulmar high mud high presure,Fulmar high mud high presure,100,Muddy sand,More stations high fishing effort
26,CEND0723,N05,A,Fulmar,high,high,medium/high,56.456,1.508,0,2.66603419,0,2.66603419,0.8335885,1.4491611,0.8782687,16.22861,83.72841,0.04297,98.4000015,218961.25,,Fulmar,Fulmar high mud high presure,Fulmar high mud high presure,100,SANDY MUD,3 stations high fishing effort
27,CEND0723,TRAN040,unsampled,Fulmar,low,low,high,56.085,1.975,0,0,0,0,0.3970267,1.1505554,0.7681075,2.65722,97.32193,0.02085,83,232830.6875,,Fulmar,Fulmar variable mud low pressure,,,,
28,CEND0723,MFLM039,unsampled,Fulmar,low,low,high,56.26,1.848,0,0,0,0,0.7585425,1.2988051,0.7238543,3.56807,96.37275,0.05918,86.5999985,230694.1094,,Fulmar,Fulmar variable mud low pressure,,,,
29,CEND0723,MFLM038,unsampled,Fulmar,low,medium/high,high,56.16,1.923,0,0,0,0,0.5971261,1.1896962,0.6762063,5.37274,94.54002,0.08724,84.1999969,232057.0156,,Fulmar,Fulmar variable mud low pressure,,,,
30,CEND0723,MFLM037,unsampled,Fulmar,low,medium/high,high,56.16,1.823,0,0,0,0,0.517605,1.3095948,0.7885521,5.27822,94.63945,0.08233,89,225783.7188,,Fulmar,Fulmar variable mud low pressure,,,,
31,CEND0723,MFLM036,unsampled,Fulmar,low,low,high,56.161,1.583,0,0,0,0,0.5712743,1.2251472,0.8137756,3.67347,96.31069,0.01585,85.8000031,211235.4219,,Fulmar,Fulmar variable mud low pressure,,,,
32,CEND0723,MFLM035,unsampled,Fulmar,high,medium/high,high,56.163,1.672,0,3.275961241,0,3.275961241,0.4682112,1.2690315,0.8731715,5.43338,94.42426,0.14236,88.6999969,217062.7656,,Fulmar,Fulmar variable mud high pressure,,,,
33,CEND0723,MFLM034,B,Fulmar,high,low,high,56.077,1.823,0,1.759863697,0,1.759863697,0.471001,1.2577915,0.790369,3.37024,96.60681,0.02295,88.8000031,223497.4063,,Fulmar,Fulmar Variable mud high pressure,Fulmar Variable mud high pressure,94,SANDY MUD,More stations high fishing effort
34,CEND0723,MFLM033,unsampled,Fulmar,high,medium/high,high,56.12,1.763,0,3.114708975,0,3.114708975,0.603419,1.3016342,0.863415,5.27123,94.67487,0.0539,95.4000015,221234.125,,Fulmar,Fulmar Variable mud high pressure,,,,
35,CEND0723,MFLM032,unsampled,Fulmar,high,medium/high,high,56.1842,1.7125,0,2.753326087,0,2.753326087,0.7997025,1.3922329,0.8268914,5.37904,94.51097,0.11,87.9000015,220359.1719,,Fulmar,Fulmar Variable mud high pressure,,,,
36,CEND0723,MFLM031,B,Fulmar,high,high,medium/high,56.136,1.735,0,2.300836832,0,2.300836832,0.7753897,1.3925946,0.8839886,11.58682,88.24704,0.16614,93,219967.1406,,Fulmar,Fulmar Variable mud high pressure,Fulmar Variable mud high pressure,95,SANDY MUD,More stations high fishing effort
37,CEND0723,MFLM030,A,Fulmar,low,medium/high,high,56.327,1.748,0,0,0,0,0.7144634,1.4465063,0.8829977,7.21358,92.71026,0.07616,87.1999969,227534.4063,,Fulmar,Fulmar high mud low pressure,Fulmar high mud low pressure,89,SANDY MUD,3 stations low fishing effort
38,CEND0723,MFLM029,B,Fulmar,low,high,high,56.375,1.675,0,0.00587581,0,0.00587581,0.7825726,1.3986803,0.8490862,9.05263,90.79509,0.15228,91,225153.625,,Fulmar,Fulmar high mud low pressure,Fulmar high mud low pressure,,,More stations low fishing effort
39,CEND0723,MFLM028,B,Fulmar,low,medium/high,high,56.41,1.755,0,0.005644204,0,0.005644204,0.5368749,1.2739041,0.6957149,6.46866,93.40364,0.1277,87,231254.2031,,Fulmar,Fulmar high mud low pressure,Fulmar high mud low pressure,92,Shelly mud with clay,More stations low fishing effort
40,CEND0723,MFLM027,A,Fulmar,low,medium/high,high,56.434,1.625,0,0.003028794,0,0.003028794,0.607572,1.3512444,0.8277414,7.4168,92.46631,0.11689,92,224415.3594,,Fulmar,Fulmar high mud low pressure,Fulmar high mud low pressure,95,Mud and clay,3 stations low fishing effort
41,CEND0723,MFLM026,A,Fulmar,high,medium/high,high,56.344,1.562,0,3.425941262,0,3.425941262,0.8162626,1.4285419,0.9225444,7.16025,92.80673,0.03302,96,217130.1406,,Fulmar,Fulmar high mud high presure,Fulmar high mud high presure,97,SANDY MUD,3 stations high fishing effort
42,CEND0723,MFLM025,B,Fulmar,high,high,medium/high,56.415,1.527,0,1.973850158,0,1.973850158,0.9431566,1.3969079,0.839884,17.82663,82.13156,0.0418,96,218533.2969,,Fulmar,Fulmar high mud high presure,Fulmar high mud high presure,95,SANDY MUD,More stations high fishing effort
43,CEND0723,MFLM024,A,Fulmar,low,medium/high,high,56.432,1.711,0,0.020417022,0,0.020417022,0.5442474,1.2739041,0.6957149,7.44076,92.44994,0.10931,90.9000015,229061.5,,Fulmar,Fulmar high mud low pressure,Fulmar high mud low pressure,91,Muddy sand,3 stations low fishing effort
44,CEND0723,MFLM023,A,Fulmar,high,high,medium/high,56.436,1.519,0,1.973850158,0,1.973850158,0.8708306,1.4491611,0.8782687,16.52093,83.43267,0.0464,97.3000031,218658.7031,,Fulmar,Fulmar high mud high presure,Fulmar high mud high presure,97,SANDY MUD,3 stations high fishing effort
45,CEND0723,TRAN042,aa,transectFulmarFarnes,low,low,high,56.241,1.274,0,0,0,0,0.7368247,1.099193,0.809893,2.89537,97.06262,0.04201,81.5999985,196482.0469,,Transect,Transect Fulmar to Farnes,Transect Fulmar to Farnes,84,Muddy sand,carbon transition 
46,CEND0723,TRAN041,aa,transectFulmarFarnes,low,low,high,56.217,0.83,0,0,0,0,0.407108,1.3629405,1.0425235,2.03869,97.90971,0.0516,92.5999985,169920.6094,,Transect,Transect Fulmar to Farnes,Transect Fulmar to Farnes,90,Muddy sand with shell,carbon transition 
47,CEND0723,TRAN044,aa,transectFulmarFarnes,medium/high,low,high,56.182,0.533,0,0.006035232,0,0.541667837,0.3247676,1.3825338,1.0750047,2.5224,97.45942,0.01818,86,151455.6719,,Transect,Transect Fulmar to Farnes,Transect Fulmar to Farnes,90,sandy mud,carbon transition 
48,CEND0723,TRAN043,aa,transectFulmarFarnes,low,low,high,56.119,0.287,0,0,0,0.023234858,0.3190672,1.2855508,1.0837194,0.93507,98.99186,0.07306,75.3000031,134693.2188,,Transect,Transect Fulmar to Farnes,Transect Fulmar to Farnes,80,sand,carbon transition 
49,CEND0723,TRAN045,aa,transectFulmarFarnes,low,low,high,55.11888889,0.072222222,0,0.017709728,0,0.017709728,0.3618393,1.3239197,1.1390182,1.87116,98.05258,0.07626,68,82264.10156,,Transect,Transect Fulmar to Farnes,Transect Fulmar to Farnes,75,Sandy gravel,carbon transition 
50,CEND0723,MFRN005,C,Farnes,low,low,high,55.862,-0.494,0,0,0,0,0.3306872,1.3495582,0.9360082,1.21094,98.38163,0.40743,72.0400009,78250.46875,,Farne Deeps,NE Farne Deeps HPMA,NE Farne Deeps HPMA,75.5,Slightly sandy mud,HPMA
51,CEND0723,MFRN004,C,Farnes,low,low,high,55.778,-0.636,0,0,0.000558517,0.000558517,0.3036341,1.4597448,1.1075984,0.70971,97.98955,1.30074,72.4800034,66742.26563,,Farne Deeps,NE Farne Deeps HPMA,,,,
