numAuto,surveyCode,stationCode,priority,location,fishing,mud,sand,latitude,longitude,beamSAR,otterSAR,dredgeSAR,totalSAR,poc_kgm2,totalProd_log10,preyProd_log10,mud_pc,sand_pc,gravel_pc,waterDepth,distCoast,,Area,Description,reasoning,Water Depth (m),SedimentDescription,Comments
92,CEND0924,MFRN028,yes,Farnes,medium/high,high,medium/high,55.46067,-0.7475,0,0.787836994,0,0.787836994,0.7197099,1.7258861,1.2857269,12.28043,87.6318,0.08776,92.1600037,52426.60156,,Farnes,,,,,
93,CEND0924,MFRN029,yes,Farnes,medium/high,high,medium/high,55.4675,-0.72967,0,0.787836994,0,0.787836994,0.6997327,1.7258861,1.2857269,10.9928,88.93752,0.06969,92.6500015,53366.72656,,Farnes,,,,,
94,CEND0924,MFRN030,yes,Farnes,medium/high,high,medium/high,55.51473,-0.8074,0,0.905389057,0,0.905389057,0.7727418,1.7985286,1.3123423,13.17672,86.73831,0.08497,92.5100021,49256.82422,,Farnes,,,,,
95,CEND0924,MFRN031,yes,Farnes,high,high,medium/high,55.44859,-0.98674,0,4.880059218,0,4.880059218,0.784973,1.8203489,1.3999088,10.79076,89.07013,0.13911,96.2600021,37351.92188,,Farnes,,,,,
96,CEND0924,MFRN032,yes,Farnes,high,high,medium/high,55.38246,-1.16607,0,7.838132369,0.000443463,7.838575833,1.0305611,1.872205,1.5406269,12.59071,87.3215,0.08779,86.3499985,25991.125,,Farnes,,,,,
97,CEND0924,MFRN033,yes,Farnes,low,high,high,55.63098,-0.8364,0,0.005293322,0,0.005293322,0.6993872,1.5750166,1.1248261,9.61227,90.29625,0.09147,93.8899994,49831.97656,,Farnes,,,,,
98,CEND0924,T01,yes,Farnes,high,high,high,55.5,-1.13,0.003068064,6.889668159,0,6.892736223,0.8900831,1.8259578,1.4119625,9.11935,90.79918,0.08147,102.9100037,28701.97852,,Farnes,,,,,
99,CEND0924,T03,yes,Farnes,high,high,medium/high,55.4,-0.87,0,3.848634607,0,3.848634607,0.9126603,1.7578731,1.3667253,10.16488,89.76023,0.07489,94.0899963,44313.54688,,Farnes,,,,,
100,CEND0924,T18,yes,silverPit,high,low,high,54.04,2.63,0.449321513,10.95402187,0,11.5624746,0.265548,1.9099784,1.446645,1.74716,97.952,0.30084,62.8300018,151576.7344,,Silver Pit,,,,,
101,CEND0924,SPT007,yes,silverPit,high,high,low,54.12631,2.58335,0.122328269,9.381843704,0,9.504171973,0.4638031,1.932525,1.5851523,28.71311,71.28565,0.00124,59,158460.0625,,Silver Pit,,,,,
102,CEND0924,SPT004,yes,silverPit,high,high,low,54.0733,2.3527,0.446621541,8.208114606,0,8.654736147,0.5018237,1.9112647,1.398717,21.3049,78.68295,0.01215,66,145508.8125,,Silver Pit,,,,,
103,CEND0924,SPT002,yes,silverPit,high,high,low,54.0843,2.5257,0.384790466,7.964724349,0,8.364187604,0.4780398,1.8467621,1.3717895,23.76655,76.23227,0.00118,64.8600006,152553.4219,,Silver Pit,,,,,
104,CEND0924,SPT003,yes,silverPit,high,high,low,54.0788,2.4392,0.449400374,7.64952189,0,8.098922264,0.5176356,1.8773648,1.3633651,24.173,75.82535,0.00165,65,149310.0469,,Silver Pit,,,,,
105,CEND0924,SPT008,yes,silverPit,high,high,low,54.12594,2.4378,0.174202886,7.150296401,0,7.324499287,0.5535476,1.9076138,1.4603651,25.64525,74.35355,0.0012,58.5999985,153700.2031,,Silver Pit,,,,,
106,CEND0924,SPT010,yes,silverPit,high,high,medium/high,54.12482,2.00116,0.265604314,7.138288913,0,7.403893228,0.4658105,1.5953901,1.372656,14.50212,85.49112,0.00677,61.5099983,134353.5156,,Silver Pit,,,,,
107,CEND0924,SPT009,yes,silverPit,high,high,medium/high,54.12557,2.29225,0.16845378,4.770369845,0,4.957041127,0.4886635,2.0412991,1.529231,13.86435,86.04347,0.09219,54.0900002,149400.1875,,Silver Pit,,,,,
108,CEND0924,SPT014,yes,silverPit,high,high,medium/high,53.98561,2.53834,0.408226063,4.662820785,0,6.409851193,0.4718041,1.9273441,1.3113556,12.43779,87.5578,0.00442,60.9300003,143516.0938,,Silver Pit,,,,,
109,CEND0924,T20,yes,silverPit,high,high,medium/high,54.04,2.2,2.166479976,1.183929284,0,3.350409259,0.4577773,1.6857338,1.2961749,12.20496,87.77916,0.01589,72.6100006,138080.6406,,Silver Pit,,,,,
110,CEND0924,SPT011,yes,silverPit,high,high,medium/high,54.04806,2.16713,2.166479976,1.183929284,0,3.350409259,0.5009649,1.6857338,1.2961749,16.91746,82.99688,0.08566,69.1200027,137925.5156,,Silver Pit,,,,,
111,CEND0924,SPT012,yes,silverPit,high,high,medium/high,54.02103,1.9769,2.682369967,0.980295842,0.000661683,3.673156768,0.5088948,1.8635296,1.4869355,19.36324,80.62931,0.00745,82.9899979,128408.125,,Silver Pit,,,,,
112,CEND0924,SPT015,yes,silverPit,high,high,medium/high,53.98505,2.34779,1.755081015,1.112755521,0,2.901344949,0.4192523,1.8429204,1.2441951,15.07316,84.92438,0.00246,67.9199982,137103.6719,,Silver Pit,,,,,
113,CEND0924,SPT006,yes,silverPit,high,high,medium/high,54.0196,2.0103,2.570534227,0.763162591,0,3.333696818,0.5524682,1.8252854,1.448325,16.93734,83.05687,0.00579,79,130733.5234,,Silver Pit,,,,,
114,CEND0924,SPT018,yes,silverPit,high,high,medium/high,54.07035,1.79374,1.461327565,0.753165909,0,2.214493474,0.4037481,1.8051287,1.5289426,12.3053,87.59453,0.10017,85.6100006,119498.0156,,Silver Pit,,,,,
115,CEND0924,SPT005,yes,silverPit,high,high,medium/high,54.0405,2.1471,2.155387537,0.767729722,0,2.926485217,0.4727947,1.6857338,1.2961749,17.7335,82.24754,0.01895,71.0800018,136745.0625,,Silver Pit,,,,,
116,CEND0924,SPT013,yes,silverPit,high,high,medium/high,54.00751,1.88178,1.446130178,0.595386853,0,2.041517031,0.3752899,1.6992878,1.3656617,11.29355,88.67052,0.03594,82.3799973,122338.3828,,Silver Pit,,,,,
117,CEND0924,SPT016,yes,silverPit,high,high,medium/high,53.98486,2.28427,1.564233291,0.571495432,0.0006718,2.189478684,0.4444723,1.8429204,1.2441951,16.28402,83.71254,0.00344,63.4900017,134968.5313,,Silver Pit,,,,,
118,CEND0924,SPT017,yes,silverPit,high,high,medium/high,53.98467,2.22076,1.258581207,0.322027206,0,1.603727285,0.4291964,1.8018165,1.3284222,17.38085,82.6142,0.00496,55.7200012,133218.2188,,Silver Pit,,,,,
119,CEND0924,T22,yes,silverPit,high,low,high,54.03,1.71,0.970278561,0.143565883,0,1.120391879,0.3609329,1.6922439,1.4308708,4.36175,95.3715,0.26675,73,112116.2656,,Silver Pit,,,,,
120,CEND0924,T21,yes,silverPit,medium/high,high,medium/high,54,2,0.546475172,0.134133859,0.001421113,0.682030143,0.4201889,1.8252854,1.448325,13.75179,86.24564,0.00257,72.25,128818.8438,,Silver Pit,,,,,
121,CEND0924,DCTD001,yes,Dogger,low,low,high,54.8741,1.4833,0.001550988,0,0.006414184,0.007965173,0.1094119,1.6182275,1.521683,0.33243,98.97498,0.6926,17.7000008,131964.0781,,Dogger,,,,,
122,CEND0924,DCTD002,yes,Dogger,low,low,high,54.9426,1.4264,0,0.001938613,0.00068653,0.002625142,0.1435115,1.625278,1.4112072,0.25324,96.84032,2.90644,24,134552.2031,,Dogger,,,,,
123,CEND0924,DCTD003,yes,Dogger,low,low,high,55.026684,1.354401,0,0.068013915,0,0.068013915,0.2179908,1.5598338,1.366591,0.54304,99.32912,0.12784,24.8999996,137125.6719,,Dogger,,,,,
124,CEND0924,DCTD004,yes,transectDoggerSwallow,low,low,high,55.148,1.2556,0,0.037779639,0,0.037779639,0.3871721,1.2211914,1.0292547,1.77366,98.21008,0.01627,58,138191.1406,,Dogger,,,,,
125,CEND0924,DCTD005,yes,transectDoggerSwallow,low,low,high,55.2165,1.1987,0,0,0,0,0.3955651,1.1154532,0.8992391,4.09341,95.83067,0.07592,71.3000031,139772.5156,,Dogger,,,,,
126,CEND0924,DCTD006,yes,transectDoggerSwallow,low,low,high,55.056766,1.33157,0,0.092189865,0.001138532,0.093328397,0.2520488,1.414495,1.2511114,0.23095,98.6337,1.13536,28.3999996,137010.9688,,Dogger,,,,,
127,CEND0924,DCTD007,yes,transectDoggerSwallow,low,low,high,55.3535,1.0848,0,0,0,0.012675753,0.4131728,1.1105831,0.8443712,1.51533,98.41411,0.07056,58.2999992,143789.4375,,Dogger,,,,,
128,CEND0924,DCTD008,yes,swallowSand,low,low,high,55.098239,1.303971,0,0.092189865,0.001138532,0.093328397,0.3503546,1.4255664,1.1079892,0.68532,98.93203,0.38265,39.5,138071.0625,,Dogger,,,,,
129,CEND0924,DCTD009,yes,swallowSand,low,low,high,55.4904,0.971,0,0.00863703,0,0.081720125,0.3695554,1.170467,0.8251286,0.96646,98.98242,0.05112,58.7999992,149954.4375,,Dogger,,,,,
130,CEND0924,DCTD010,yes,swallowSand,low,medium/high,high,55.5589,0.9141,0,0,0,0,0.3499721,1.2001315,0.8594775,5.63013,94.31455,0.05533,77.0999985,153205.9375,,Dogger,,,,,
131,CEND0924,OBDT001,yes,Dogger,low,low,high,54.84788019,1.504758509,0,0,0,0,0.1051014,1.7301093,1.6945301,0.21733,99.14147,0.6412,17.1000004,131500.375,,Dogger,,,,,
132,CEND0924,OBDT002,yes,Dogger,low,low,high,54.85804176,1.516166943,0,0,0.003317058,0.003317058,0.1124258,1.7301093,1.6945301,0.26405,98.80412,0.93183,19.5,132873.8594,,Dogger,,,,,
133,CEND0924,OBDT003,yes,Dogger,low,low,high,54.86702185,1.526898312,0,0,0.003317058,0.003317058,0.1050922,1.7301093,1.6945301,0.27129,98.80905,0.91966,23,133560.9063,,Dogger,,,,,
134,CEND0924,OBDT004,yes,Dogger,low,low,high,55.04291525,1.332574656,0.002215909,0.052239758,0,0.077870518,0.2142149,1.414495,1.2511114,0.27068,99.41663,0.31269,27.5,136265.6563,,Dogger,,,,,
135,CEND0924,OBDT005,yes,Dogger,low,low,high,55.04952811,1.345131101,0.002215909,0.052239758,0,0.077870518,0.2165744,1.414495,1.2511114,0.4508,99.39703,0.15218,24.6000004,137379.3438,,Dogger,,,,,
136,CEND0924,OBDT006,yes,Dogger,low,low,high,55.08068037,1.30742041,0,0.092189865,0.001138532,0.093328397,0.3221002,1.3994876,1.1138417,0.39507,98.82909,0.77584,36.5,137059.3438,,Dogger,,,,,
137,CEND0924,OBDT007,yes,Dogger,low,low,high,55.08491085,1.319847446,0,0.092189865,0.001138532,0.093328397,0.4090037,1.3994876,1.1138417,0.49476,98.83102,0.67423,33.5,137917.1875,,Dogger,,,,,
138,CEND0924,OBDT008,yes,swallowSand,low,medium/high,high,55.54516824,0.910772577,0,0.003854351,0,0.003854351,0.3494385,1.2001315,0.8594775,5.50854,94.45436,0.0371,81,151805.0781,,Dogger,,,,,
139,CEND0924,OBDT009,yes,swallowSand,low,medium/high,high,55.55411501,0.918957922,0,0,0,0,0.3565234,1.2001315,0.8594775,6.4626,93.48468,0.05273,79,152858.5625,,Dogger,,,,,
140,CEND0924,OBDT012,yes,Dogger,low,low,high,55.03907,1.346664,0.002215909,0.052239758,0,0.077870518,0.2288647,1.414495,1.2511114,0.61906,98.5204,0.86054,24.7000008,137196.625,,Dogger,,,,,
141,CEND0924,OBDT010,yes,swallowSand,low,medium/high,high,55.56201482,0.927523982,0,0,0,0,0.3195172,1.2001315,0.8594775,5.14083,94.81083,0.04834,77.9000015,153565.5469,,Dogger,,,,,
142,CEND0924,OBDT011,yes,Dogger,low,low,high,55.06229,1.334113,0,0.092189865,0.001138532,0.093328397,0.3075036,1.414495,1.2511114,0.24598,98.71268,1.04134,28.6000004,137473.8125,,Dogger,,,,,
143,CEND0924,SGBC001,yes,,medium/high,low,high,53.8488,2.1903,0.239598301,0,0,0.239598301,0.1728929,1.5847211,1.4655167,0.95403,98.43943,0.60654,32,118755.2031,,Sean,,,,,
144,CEND0924,SGBC002,yes,,high,low,high,53.2505,2.7264,1.195460833,0.007432906,0,1.202893739,0.1155713,1.6437856,1.5203847,1.91495,97.80117,0.28387,30.3999996,90240.48438,,Sean,,,,,
